fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type,quality_binary,alcohol_category,acidity_ratio,sulfur_ratio,sugar_alcohol_interaction,ph_category,is_excellent,is_poor
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5,red,0,Low,10.879284649776451,0.3137193388364934,16.92,Acidic,0,0
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,red,1,Medium,20.930232558139537,0.2950771298831167,18.540000000000003,Moderate,0,0
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,red,0,Medium,12.522686025408348,0.4749881252968676,22.220000000000002,Moderate,0,0
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,red,1,Low,17.5152749490835,0.14705774222248366,18.81,Very_Acidic,0,0
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,red,0,Low,15.682281059063136,0.29031321570271923,18.24,Moderate,0,0
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,red,0,Low,23.785166240409207,0.27199782401740785,19.95,Acidic,0,0
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,red,0,Low,11.272141706924316,0.333319445023124,16.2,Moderate,0,0
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,red,0,Low,15.163147792706335,0.29999785715816313,18.05,Acidic,0,0
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,red,1,Low,17.5152749490835,0.14705774222248366,18.81,Very_Acidic,0,0
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,5,red,0,Low,17.5152749490835,0.14285606875136278,19.6,Very_Acidic,0,0
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,red,0,Low,15.682281059063136,0.29031321570271923,18.24,Moderate,0,0
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,4,red,0,Medium,4.897159647404506,0.482347266502747,14.7,Basic,0,1
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,6,red,1,High,7.820299500831947,0.1603758455108914,29.669999999999998,Basic,0,0
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,red,0,Medium,8.762886597938143,0.3478109647406634,32.099999999999994,Moderate,0,0
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,red,0,Low,13.972055888223553,0.13635743829825916,18.4,Acidic,0,0
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,red,0,Low,8.435072142064373,0.4999500049995001,24.5,Moderate,0,0
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,red,1,Low,14.835164835164834,0.37141795948687184,17.099999999999998,Acidic,0,0
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,red,1,Medium,13.58428805237316,0.21999560008799826,21.419999999999998,Moderate,0,0
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,red,1,Medium,15.568862275449101,0.3636198354620244,19.759999999999998,Moderate,0,0
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,red,1,Low,14.835164835164834,0.37141795948687184,17.099999999999998,Acidic,0,0
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,red,0,Low,14.0625,0.1846125444223935,19.32,Acidic,0,0
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,red,0,Low,14.663951120162933,0.13888503097136193,20.680000000000003,Moderate,0,0
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,red,0,Low,14.0625,0.1846125444223935,19.32,Acidic,0,0
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,5,red,0,Low,18.978102189781023,0.260865784553847,15.81,Acidic,0,0
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,red,0,Low,9.8256735340729,0.23437133794784454,15.81,Moderate,0,0
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,red,1,Low,24.16918429003021,0.2249971875351558,24.0,Moderate,0,0
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,red,0,Low,10.305343511450381,0.24182848478114521,18.6,Acidic,0,0
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,red,0,Low,13.90374331550802,0.2553137167294313,17.1,Acidic,0,0
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,red,0,Low,13.52657004830918,0.10185090878788158,21.560000000000002,Acidic,0,0
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,red,0,Low,13.976705490848587,0.12612498986495616,21.560000000000002,Acidic,0,0
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,red,1,Low,32.47588424437299,0.4782504728158084,22.309999999999995,Moderate,0,0
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,red,0,Low,13.90374331550802,0.2553137167294313,17.1,Acidic,0,0
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,red,1,Medium,23.44139650872818,0.20967403751552396,23.1,Acidic,0,0
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,red,1,Low,15.341959334565619,0.27499312517187074,19.0,Moderate,0,0
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,red,1,Low,13.90374331550802,0.2499910717474376,18.8,Moderate,0,0
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,red,1,Medium,15.970961887477314,0.2499955357940037,23.980000000000004,Acidic,0,0
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6,red,1,Low,10.130246020260493,0.2471882338400692,16.56,Moderate,0,0
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,red,0,Low,6.816059757236228,0.11235828810912236,15.299999999999999,Acidic,0,0
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,red,1,Medium,15.970961887477314,0.2499955357940037,23.980000000000004,Acidic,0,0
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,red,0,Low,10.488505747126437,0.2307514806553342,23.0,Moderate,0,0
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,red,0,Low,11.251758087201125,0.32351989647363316,24.7,Moderate,0,0
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,red,0,Low,15.568862275449101,0.20588033450652443,15.200000000000001,Moderate,0,0
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5,red,0,Low,14.492753623188406,0.2999966667037033,17.86,Acidic,0,0
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,red,0,Medium,6.1607813673929375,0.24997916840263312,18.53,Moderate,0,0
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5,red,0,Medium,6.08564988730278,0.24997916840263312,19.62,Moderate,0,0
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,red,1,Medium,13.536379018612521,0.18748828198237608,18.900000000000002,Moderate,0,0
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,red,0,Low,16.01049868766404,0.3157728540603126,16.92,Moderate,0,0
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,red,0,Low,10.723860589812332,0.22387892627666958,18.8,Acidic,0,0
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,red,0,High,11.177644710578841,0.17171543721780588,29.9,Basic,0,0
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,red,0,High,11.177644710578841,0.17171543721780588,29.9,Basic,0,0
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,red,1,Low,13.173652694610778,0.6538210068843505,14.700000000000001,Moderate,0,0
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,red,1,Low,7.588856868395774,0.4482604048136271,21.78,Acidic,0,0
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,red,0,Low,11.26005361930295,0.25396422279011444,18.24,Acidic,0,0
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,red,0,Low,11.592178770949722,0.19230399415395857,17.1,Acidic,0,0
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,red,0,Low,17.30769230769231,0.2888824692784605,18.4,Moderate,0,0
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,red,0,Low,13.90374331550802,0.1428557823258826,19.95,Moderate,0,0
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,red,0,Low,13.90374331550802,0.15740594994490792,19.0,Moderate,0,0
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,red,0,Low,11.26005361930295,0.25396422279011444,18.24,Acidic,0,0
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,red,0,Low,11.592178770949722,0.19230399415395857,17.1,Acidic,0,0
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,red,1,High,15.249266862170087,0.4285646259583181,25.2,Basic,0,0
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,red,0,Low,16.11253196930946,0.14999250037498124,15.98,Moderate,0,0
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,red,1,High,15.249266862170087,0.4285646259583181,25.2,Basic,0,0
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,5,red,0,Low,12.071535022354693,0.22694874504436138,16.92,Acidic,0,0
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,red,0,Low,8.516886930983846,0.22340187870341804,18.0,Moderate,0,0
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5,red,0,Low,15.478615071283095,0.11363507232872352,14.880000000000003,Acidic,0,0
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,red,1,Medium,14.052953156822811,0.39998666711109626,23.459999999999997,Moderate,0,0
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,red,1,Medium,20.44887780548628,0.25580800446501245,29.4,Moderate,0,0
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,red,1,Medium,22.054380664652566,0.4545041359876375,21.630000000000003,Moderate,0,0
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,red,0,Low,17.658349328214967,0.4637613947623947,31.96,Very_Acidic,0,1
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,red,0,Medium,12.479201331114808,0.252522701790891,18.18,Moderate,0,0
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,red,0,Medium,12.479201331114808,0.252522701790891,18.18,Moderate,0,0
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,red,0,Medium,16.473317865429234,0.2248044588801637,57.75,Moderate,0,0
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,red,0,Medium,16.473317865429234,0.21874829102897633,57.75,Moderate,0,0
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,red,0,Medium,16.473317865429234,0.2248044588801637,57.75,Moderate,0,0
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,red,0,Medium,16.473317865429234,0.21874829102897633,57.75,Moderate,0,0
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,red,0,Low,10.42584434654919,0.5454297531930367,20.460000000000004,Moderate,0,0
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,red,1,Low,11.314475873544094,0.20929989186172251,17.67,Moderate,0,0
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5,red,0,Low,7.991587802313354,0.34998250087495625,19.2,Acidic,0,0
